"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Red",3,190.5,7,0,1,5,0,9
"Red",0,198.12,3,1,1,0,1,5
"Red",1,177.8,1,0,1,3,0,7
"Blue",0,193.04,8,0,1,1,0,9
"Blue",0,182.88,0,1,1,0,0,3
"Red",1,182.88,2,0,1,1,0,7
"Blue",1,187.96,0,0,1,0,0,7
"Red",0,198.12,0,2,1,0,0,9
"Red",0,172.72,1,1,1,0,0,4
"Blue",1,170.18,1,0,1,1,0,10
"Blue",0,182.88,12,2,1,1,1,9
"Red",0,193.04,0,0,1,0,0,8
"Red",1,195.58,1,0,2,0,1,8
"Blue",2,203.2,7,0,1,0,0,5
"Red",1,187.96,0,0,1,0,0,5
"Red",3,180.34,3,0,1,3,1,9
"Red",0,198.12,1,1,1,1,0,6
"Blue",2,177.8,3,0,1,0,1,7
"Blue",0,203.2,1,0,1,0,0,8
"Red",3,180.34,0,0,1,0,0,3
"Red",2,165.1,4,0,1,2,0,4
"Red",0,170.18,12,1,1,0,2,7
"Blue",3,175.26,3,0,1,0,0,1
"Red",1,180.34,1,0,1,0,0,9
"Red",2,190.5,8,0,1,1,1,8
"Red",0,165.1,2,0,1,1,1,12
"Red",0,185.42,2,1,1,2,2,7
"Red",1,190.5,3,0,1,0,1,5
"Red",0,177.8,2,1,1,0,0,1
"Red",3,193.04,4,0,1,0,0,8
"Red",0,190.5,3,1,1,2,1,9
"Red",1,177.8,1,0,1,0,0,7
"Blue",0,170.18,0,0,1,0,0,13
"Red",0,165.1,7,1,1,2,1,1
"Red",1,175.26,0,0,1,0,1,4
"Red",2,195.58,2,0,1,4,0,8
"Blue",1,187.96,5,0,1,2,2,3
"Blue",3,180.34,1,0,1,1,0,7
"Red",1,185.42,5,0,1,1,0,9
"Blue",0,180.34,4,4,1,1,0,7
"Red",0,185.42,1,1,1,1,0,3
"Red",1,175.26,1,0,1,0,1,12
"Red",0,165.1,4,1,1,0,1,13
"Blue",0,182.88,1,1,1,0,0,12
"Red",3,175.26,1,0,1,0,0,7
"Red",0,185.42,2,1,1,1,0,9
"Blue",0,177.8,0,0,1,0,0,3
"Red",6,210.82,2,0,2,0,0,5
"Red",3,190.5,2,0,2,3,1,6
"Red",3,190.5,0,0,1,0,0,3
"Red",0,190.5,6,1,1,0,1,6
"Blue",0,180.34,2,1,1,0,0,1
"Red",0,182.88,2,0,1,0,1,3
"Blue",1,185.42,2,0,1,0,0,9
"Red",2,170.18,5,0,1,0,3,4
"Blue",0,177.8,0,0,1,0,0,3
"Blue",2,177.8,0,0,1,0,0,3
"Red",0,180.34,1,2,1,1,0,7
"Red",0,177.8,13,1,1,0,1,3
"Blue",1,162.56,2,0,1,1,0,12
"Red",1,187.96,0,0,1,1,0,9
"Red",0,185.42,4,2,1,0,2,3
"Red",1,180.34,3,0,1,2,0,7
"Blue",0,180.34,0,1,1,0,0,7
"Blue",0,172.72,1,2,1,0,0,10
"Red",1,172.72,2,0,1,1,1,1
"Blue",1,170.18,1,0,1,0,1,13
"Red",0,175.26,1,1,1,0,0,3
"Red",1,175.26,0,0,2,0,0,11
"Red",3,190.5,0,0,1,2,0,7
"Red",3,185.42,3,0,1,1,0,7
"Blue",0,160.02,0,1,1,2,0,13
"Blue",0,203.2,6,1,1,0,1,9
"Draw",0,187.96,2,0,1,0,0,6
"Red",2,177.8,2,0,1,1,1,3
"Draw",2,185.42,1,0,1,1,0,8
"Blue",2,167.64,4,0,1,1,0,4
"Red",0,165.1,6,0,1,0,0,1
"Blue",2,177.8,5,0,1,0,3,9
"Blue",1,177.8,3,0,1,3,0,3
"Red",2,180.34,2,0,1,0,0,9
"Red",0,195.58,4,1,1,3,0,6
"Blue",1,198.12,2,0,1,0,0,6
"Red",0,187.96,0,3,1,0,0,8
"Red",1,182.88,2,0,1,0,1,9
"Red",1,187.96,2,0,1,0,1,9
"Red",0,177.8,6,1,1,0,1,7
"Red",0,198.12,2,2,1,0,1,8
"Red",0,187.96,4,1,1,0,1,9
"Blue",4,175.26,3,0,1,0,0,3
"Blue",0,180.34,2,1,1,1,1,3
"Red",2,180.34,1,0,1,0,1,1
"Red",1,177.8,2,0,1,1,0,7
"Red",0,185.42,0,0,1,0,0,8
"Blue",0,185.42,3,0,1,0,1,1
"Red",2,167.64,2,0,1,1,1,12
"Blue",0,177.8,1,2,1,1,0,1
"Blue",0,165.1,1,0,1,0,0,1
"Red",0,172.72,3,0,1,0,1,1
"Red",0,180.34,2,1,1,0,1,1
"Blue",0,177.8,1,1,1,0,0,7
"Blue",1,187.96,1,0,1,1,0,8
"Red",0,177.8,3,1,2,2,1,3
"Blue",5,210.82,4,0,1,0,0,5
"Red",4,175.26,2,0,1,0,1,4
"Red",1,177.8,3,0,1,0,2,7
"Red",0,157.48,1,1,1,1,0,13
"Blue",2,177.8,8,0,1,9,0,7
"Blue",2,190.5,3,0,1,2,0,9
"Red",1,177.8,0,0,1,0,0,7
"Red",1,170.18,1,0,1,2,0,13
"Red",0,165.1,2,2,1,0,0,13
"Blue",0,185.42,1,1,1,0,0,9
"Blue",0,195.58,1,0,1,0,0,6
"Red",0,193.04,0,0,1,0,0,5
"Red",0,175.26,0,1,2,0,0,12
"Red",0,180.34,0,1,1,0,0,1
"Blue",0,170.18,0,1,1,0,0,12
"Blue",0,195.58,1,1,1,2,0,8
"Draw",0,167.64,0,0,1,0,0,12
"Blue",2,180.34,3,0,1,2,0,1
"Blue",0,172.72,0,0,1,0,0,12
"Blue",0,193.04,1,2,1,0,0,8
"Blue",0,157.48,0,0,1,0,0,12
"Blue",0,175.26,0,0,1,0,0,12
"Red",0,160.02,0,0,1,0,0,12
"Blue",0,180.34,8,2,1,0,2,8
"Red",1,182.88,2,0,1,0,1,9
"Red",1,185.42,0,0,1,0,0,3
"Blue",0,182.88,0,1,1,0,0,9
"Red",0,182.88,0,0,1,1,0,3
"Red",0,187.96,0,2,1,0,0,9
"Blue",0,160.02,5,0,1,1,0,13
"Red",0,182.88,0,0,1,0,0,3
"Blue",0,193.04,2,1,1,0,0,5
"Blue",0,172.72,0,1,1,0,0,10
"Blue",0,175.26,0,2,1,0,0,3
"Red",0,182.88,2,0,1,0,0,5
"Red",3,198.12,4,0,1,3,0,5
"Blue",0,162.56,3,0,1,1,0,12
"Blue",2,182.88,6,0,1,1,1,9
"Red",0,193.04,3,1,1,3,0,9
"Red",0,177.8,2,1,1,0,0,8
"Red",0,182.88,0,0,1,0,0,2
"Red",0,170.18,3,1,1,0,1,4
"Red",0,182.88,7,2,1,1,2,7
"Blue",0,190.5,1,0,1,0,0,5
"Blue",0,185.42,2,0,1,0,1,7
"Blue",0,167.64,2,0,1,1,0,13
"Blue",0,172.72,1,2,1,0,0,4
"Blue",0,205.74,6,0,1,0,0,5
"Red",1,182.88,5,0,1,3,0,7
"Red",0,182.88,10,1,1,2,0,9
"Blue",0,195.58,0,5,1,0,0,5
"Blue",0,198.12,11,1,1,3,0,8
"Red",2,175.26,2,0,1,1,3,1
"Blue",1,177.8,10,0,1,7,1,7
"Blue",0,170.18,3,1,1,0,0,1
"Red",2,160.02,0,0,1,1,0,13
"Red",0,185.42,2,1,1,1,0,7
"Blue",1,162.56,3,0,1,0,0,13
"Blue",0,193.04,5,1,1,2,1,9
"Red",0,187.96,3,1,1,0,1,6
"Blue",0,187.96,2,0,1,0,0,8
"Blue",12,193.04,7,0,2,0,2,8
"Blue",2,170.18,0,0,2,0,0,1
"Blue",1,165.1,0,0,2,0,1,13
"Red",0,187.96,3,1,1,0,0,9
"Blue",2,182.88,7,0,1,0,2,8
"Red",2,185.42,1,0,1,3,0,7
"Blue",1,195.58,5,0,1,0,0,5
"Red",0,200.66,5,1,1,3,0,6
"Red",3,187.96,2,0,1,1,0,9
"Blue",1,203.2,1,0,1,3,0,5
"Blue",1,182.88,0,0,1,0,0,1
"Red",0,187.96,3,2,1,1,0,8
"Blue",4,182.88,7,0,1,9,1,9
"Red",2,180.34,3,0,1,2,0,1
"Red",0,180.34,4,2,1,2,1,7
"Red",2,195.58,4,0,1,0,0,8
"Red",3,177.8,3,0,1,1,1,1
"Red",1,193.04,2,0,1,2,0,9
"Red",1,185.42,3,0,1,2,0,8
"Blue",1,172.72,4,0,1,0,1,7
"Red",1,193.04,1,0,1,0,1,9
"Red",1,157.48,0,0,1,0,0,4
"Red",0,203.2,0,2,1,0,0,5
"Blue",2,187.96,6,0,1,5,0,9
"Red",0,162.56,2,0,1,0,1,13
"Red",2,190.5,4,0,1,0,0,6
"Red",0,190.5,0,2,1,0,0,8
"Red",0,182.88,3,0,1,0,0,7
"Blue",0,167.64,2,1,1,2,0,1
"Blue",0,193.04,4,0,1,1,1,8
"Blue",0,187.96,3,1,1,0,0,3
"Blue",0,182.88,0,2,1,0,0,9
"Blue",0,167.64,1,0,1,0,0,10
"Blue",0,177.8,5,1,1,2,0,3
"Red",5,195.58,1,0,2,5,1,7
"Red",2,160.02,2,0,2,4,1,4
"Red",2,195.58,4,0,1,2,0,5
"Draw",4,177.8,3,0,1,3,1,7
"Blue",1,162.56,0,0,1,0,0,1
"Draw",0,180.34,2,3,1,0,0,7
"Blue",0,170.18,1,0,1,0,0,13
"Red",0,175.26,2,1,1,0,0,4
"Red",1,165.1,5,0,1,3,1,4
"Blue",2,187.96,6,0,1,5,1,8
"Red",0,190.5,5,1,1,2,0,6
"Blue",0,157.48,2,1,1,1,0,13
"Blue",1,177.8,8,0,1,0,1,7
"Red",0,193.04,0,3,1,0,0,6
"Red",0,175.26,3,1,1,0,0,3
"Red",1,180.34,4,0,1,1,0,4
"Red",0,182.88,5,1,1,2,0,9
"Red",0,170.18,0,1,1,0,0,13
"Red",1,182.88,1,0,1,0,0,9
"Red",0,195.58,0,2,1,0,0,9
"Red",1,198.12,2,0,1,3,0,8
"Red",0,185.42,1,0,1,0,0,9
"Blue",2,193.04,6,0,1,0,0,8
"Red",1,187.96,0,0,1,0,0,7
"Red",2,182.88,0,0,1,1,0,9
"Red",0,195.58,0,0,1,1,0,5
"Blue",2,177.8,3,0,1,2,0,7
"Blue",0,208.28,5,1,1,0,0,5
"Blue",0,200.66,2,3,1,0,1,8
"Blue",0,180.34,2,1,1,0,1,7
"Red",2,167.64,1,0,2,2,0,10
"Blue",1,177.8,4,0,1,1,1,9
"Red",0,165.1,2,1,1,0,1,4
"Red",2,200.66,3,0,1,1,0,6
"Red",0,185.42,13,3,1,0,1,3
"Blue",2,172.72,3,0,1,2,1,10
"Red",0,170.18,1,1,1,0,0,10
"Blue",1,177.8,0,0,1,0,0,3
"Blue",0,180.34,4,1,1,1,0,7
"Blue",0,190.5,2,0,1,2,0,5
"Red",0,182.88,1,1,1,0,0,7
"Red",2,213.36,0,0,1,0,1,5
"Red",0,203.2,2,0,1,1,0,8
"Red",0,172.72,3,0,1,1,0,10
"Red",1,182.88,2,0,1,1,0,9
"Red",1,193.04,1,0,1,0,0,9
"Red",1,195.58,1,0,1,0,0,7
"Red",0,175.26,2,0,1,1,2,7
"Red",1,185.42,2,0,1,0,0,7
"Blue",0,198.12,3,0,1,0,0,6
"Blue",0,185.42,0,0,1,0,0,3
"Blue",0,198.12,2,0,1,0,0,6
"Red",0,177.8,3,1,1,0,0,7
"Red",3,177.8,2,0,1,0,0,4
"Blue",0,167.64,3,1,1,0,1,13
"Blue",0,193.04,3,1,1,0,0,9
"Red",0,190.5,4,3,1,1,0,8
"Red",0,177.8,2,1,1,0,0,1
"Blue",1,195.58,3,0,1,2,1,8
"Red",2,162.56,5,0,1,0,3,4
"Blue",0,170.18,2,1,1,1,0,1
"Red",2,175.26,1,0,1,1,0,1
"Red",0,167.64,0,0,1,0,0,4
"Blue",0,182.88,1,1,1,0,0,7
"Draw",13,213.36,1,0,2,3,1,6
"Red",7,182.88,3,0,2,0,1,9
"Red",0,177.8,0,0,2,0,0,11
"Red",0,185.42,5,1,1,0,3,9
"Blue",2,190.5,2,0,1,0,0,6
"Red",4,180.34,3,0,1,3,0,3
"Red",1,177.8,2,0,1,2,0,2
"Red",3,182.88,1,0,1,1,0,3
"Blue",0,182.88,3,0,1,0,0,3
"Blue",1,160.02,4,0,1,1,0,13
"Blue",0,157.48,1,0,1,0,0,4
"Blue",0,177.8,11,1,1,1,1,7
"Red",0,180.34,3,1,1,2,0,8
"Blue",4,180.34,4,0,1,2,2,3
"Red",0,193.04,4,1,1,0,0,6
"Red",1,177.8,0,0,1,0,1,1
"Blue",2,185.42,0,0,1,0,0,9
"Blue",0,190.5,7,0,1,1,2,8
"Blue",1,193.04,1,0,1,0,0,9
"Blue",1,198.12,2,0,1,0,0,5
"Blue",2,180.34,1,0,1,0,1,3
"Blue",2,177.8,0,0,1,1,0,1
"Blue",0,187.96,2,0,1,0,1,5
"Red",1,185.42,0,0,1,0,0,3
"Blue",0,177.8,2,2,1,0,0,7
"Blue",4,185.42,2,0,1,6,0,9
"Blue",2,162.56,2,0,1,0,0,13
"Blue",1,177.8,1,0,1,0,1,7
"Red",0,193.04,1,1,1,0,0,8
"Red",0,193.04,2,1,1,0,0,6
"Blue",0,198.12,0,0,1,0,0,5
"Red",0,187.96,1,1,1,1,0,9
"Red",0,162.56,0,1,1,0,1,4
"Blue",0,182.88,1,0,1,0,0,9
"Red",0,175.26,0,0,1,0,0,7
"Red",1,182.88,0,0,1,0,0,1
"Red",0,165.1,3,0,1,0,0,10
"Blue",7,185.42,0,0,2,0,1,8
"Blue",1,203.2,3,0,1,2,0,5
"Blue",0,203.2,4,1,1,0,0,5
"Red",0,180.34,5,1,1,3,1,7
"Red",2,172.72,1,0,1,0,0,1
"Blue",1,203.2,7,0,1,1,0,5
"Red",0,198.12,2,1,1,0,1,9
"Red",2,195.58,4,0,1,0,0,8
"Blue",1,182.88,3,0,1,0,1,9
"Red",0,180.34,0,0,1,0,0,3
"Red",0,205.74,0,0,1,0,0,6
"Blue",0,177.8,7,0,1,0,0,7
"Blue",0,185.42,3,1,2,0,0,9
"Red",0,190.5,2,0,1,0,0,6
"Red",2,190.5,4,0,1,0,2,8
"Red",1,187.96,0,0,1,0,0,6
"Red",0,175.26,3,1,1,0,0,13
"Red",0,185.42,3,0,1,2,0,9
"Blue",0,193.04,9,3,1,4,1,6
"Red",1,165.1,1,0,1,0,0,13
"Red",0,175.26,8,1,1,0,3,3
"Blue",4,195.58,2,0,1,5,0,7
"Red",1,175.26,10,0,1,0,2,8
"Red",2,162.56,1,0,1,2,0,13
"Red",1,182.88,6,0,1,1,1,9
"Blue",0,177.8,12,2,1,4,0,3
"Red",1,180.34,11,0,1,4,3,7
"Blue",0,187.96,2,1,1,0,0,8
"Blue",0,177.8,1,1,1,0,0,7
"Red",0,185.42,0,0,1,0,0,3
"Red",0,182.88,3,1,1,2,0,7
"Blue",0,182.88,1,1,1,0,0,6
"Red",0,162.56,3,1,1,0,1,10
"Blue",2,198.12,8,0,1,2,1,5
"Blue",3,182.88,4,0,1,1,2,9
"Blue",0,177.8,3,2,1,0,0,9
"Blue",0,185.42,7,2,1,0,1,7
"Blue",1,195.58,1,0,1,0,0,5
"Red",0,175.26,9,0,1,2,2,3
"Blue",0,180.34,3,1,1,0,0,4
"Blue",0,177.8,1,4,1,0,0,1
"Red",0,180.34,0,0,1,0,0,4
"Blue",0,170.18,0,1,1,0,0,10
"Blue",0,182.88,2,2,1,0,1,5
"Red",4,177.8,3,0,1,1,0,8
"Red",0,175.26,3,3,1,1,0,7
"Red",0,193.04,2,2,1,0,0,6
"Blue",1,165.1,5,0,1,0,0,4
"Red",1,170.18,0,0,1,0,0,3
"Blue",2,182.88,1,0,1,0,1,7
"Red",0,187.96,0,2,1,0,0,9
"Red",0,170.18,5,0,1,3,1,4
"Blue",0,182.88,1,1,1,1,1,9
"Red",0,170.18,1,0,1,0,0,13
"Blue",10,175.26,1,0,2,0,0,3
"Red",0,162.56,2,1,1,0,0,13
"Red",0,187.96,10,1,1,2,0,8
"Red",0,198.12,0,1,1,0,0,8
"Blue",1,190.5,6,0,1,5,0,9
"Red",0,170.18,2,0,1,1,2,1
"Blue",1,175.26,2,0,1,0,0,1
"Blue",0,167.64,5,0,1,2,1,1
"Red",1,165.1,0,0,1,0,1,13
"Red",0,185.42,2,1,1,0,0,9
"Red",1,193.04,4,0,1,2,0,6
"Red",4,195.58,0,0,1,0,1,6
"Red",1,195.58,4,0,1,1,0,9
"Blue",1,185.42,0,0,1,0,0,9
"Blue",0,187.96,0,1,1,0,0,9
"Red",0,205.74,1,1,1,0,0,8
"Red",2,177.8,3,0,1,2,0,1
"Red",0,193.04,4,2,1,0,1,8
"Blue",2,175.26,3,0,1,2,0,7
"Blue",0,193.04,2,2,1,1,0,9
"Red",1,185.42,1,0,1,0,0,9
"Blue",0,177.8,2,1,1,0,0,7
"Red",1,195.58,2,0,2,0,0,5
"Red",3,157.48,0,0,2,0,1,13
"Red",3,187.96,6,0,1,9,0,9
"Red",6,180.34,6,0,1,2,0,3
"Blue",0,198.12,1,1,1,0,1,8
"Draw",1,182.88,2,0,1,0,2,7
"Blue",3,180.34,2,0,1,4,0,3
"Red",0,193.04,2,0,1,0,0,5
"Red",3,180.34,1,0,1,3,0,7
"Blue",0,170.18,1,1,1,0,0,13
"Blue",1,177.8,1,0,1,2,0,3
"Blue",1,177.8,1,0,1,0,0,6
"Red",2,165.1,3,0,1,0,0,3
"Red",1,182.88,2,0,1,0,1,7
"Red",1,190.5,5,0,1,1,0,6
"Red",2,175.26,3,0,1,0,0,1
"Blue",1,177.8,9,0,1,7,1,7
"Blue",0,180.34,8,1,1,1,1,9
"Red",4,190.5,6,0,1,5,1,8
"Blue",2,177.8,4,0,1,0,3,4
"Red",0,190.5,2,1,1,1,0,7
"Blue",1,152.4,2,0,1,0,1,13
"Red",0,172.72,2,0,1,1,1,10
"Red",0,182.88,2,1,1,1,0,9
"Red",0,177.8,1,1,1,0,0,4
"Red",3,165.1,2,0,2,3,1,4
"Red",2,157.48,2,0,1,2,0,13
"Blue",6,185.42,1,0,1,4,0,8
"Blue",2,182.88,12,0,1,0,1,3
"Red",1,182.88,0,0,1,0,1,5
"Blue",0,172.72,1,0,1,1,0,1
"Blue",0,177.8,2,1,1,1,1,7
"Blue",0,167.64,3,4,1,1,0,4
"Red",1,165.1,2,0,1,2,0,1
"Red",1,198.12,1,0,1,0,0,6
"Red",2,187.96,2,0,1,0,0,8
"Red",1,175.26,2,0,1,2,0,9
"Blue",1,172.72,1,0,1,0,1,10
"Red",3,198.12,1,0,2,2,1,6
"Blue",4,193.04,2,0,1,2,0,8
"Red",0,172.72,0,0,1,1,0,13
"Red",0,180.34,8,1,1,1,0,9
"Blue",0,187.96,1,2,1,0,0,7
"Red",0,180.34,2,1,1,1,1,3
"Red",3,193.04,0,0,1,1,0,9
"Red",1,175.26,0,0,1,0,0,3
"Red",0,198.12,4,1,1,0,0,6
"Red",1,177.8,0,0,1,0,0,7
"Blue",0,185.42,0,0,1,0,1,7
"Red",0,172.72,1,1,1,0,0,10
"Blue",0,165.1,0,0,1,0,0,4
"Red",1,200.66,2,0,1,0,0,6
"Red",3,185.42,2,0,1,5,0,9
"Blue",1,177.8,8,0,1,1,2,2
"Red",3,182.88,0,0,1,1,0,3
"Red",1,182.88,1,0,1,2,0,7
"Blue",0,190.5,1,2,1,0,0,6
"Blue",0,195.58,3,1,1,0,0,5
"Red",4,190.5,2,0,1,1,0,9
"Red",1,182.88,0,0,1,0,0,7
"Red",0,190.5,3,1,1,2,0,8
"Red",0,170.18,1,0,1,0,0,10
"Draw",2,180.34,9,0,1,2,0,8
"Red",1,193.04,8,0,1,0,1,6
"Red",2,182.88,4,0,1,0,1,7
"Blue",1,160.02,3,0,1,1,0,4
"Draw",1,172.72,2,0,1,0,2,10
"Red",0,190.5,3,1,1,1,0,9
"Blue",3,195.58,3,0,1,2,1,7
"Red",0,177.8,2,0,1,2,1,9
"Blue",2,165.1,3,0,1,3,1,1
"Red",0,182.88,2,2,1,0,2,7
"Blue",1,180.34,4,0,1,1,0,3
"Blue",0,182.88,3,0,1,0,0,8
"Red",0,190.5,3,1,2,0,1,9
"Blue",2,185.42,1,0,1,0,0,7
"Blue",3,177.8,6,0,1,0,4,8
"Blue",0,162.56,1,0,1,0,0,13
"Red",0,182.88,4,1,1,0,0,5
"Red",2,187.96,1,0,1,0,0,5
"Blue",3,180.34,0,0,1,1,0,3
"Red",1,170.18,5,0,1,1,1,1
"Red",0,208.28,1,0,1,0,0,5
"Red",1,193.04,0,0,1,1,0,6
"Red",0,177.8,2,0,1,0,0,1
"Red",0,200.66,2,2,1,0,1,5
"Red",0,180.34,6,3,1,0,2,8
"Blue",0,167.64,6,0,1,0,0,3
"Red",3,198.12,1,0,1,0,0,8
"Red",0,172.72,3,0,1,1,1,10
"Red",0,175.26,3,1,1,1,1,7
"Blue",3,185.42,1,0,1,0,1,9
"Blue",0,160.02,1,1,1,1,0,13
"Red",0,165.1,0,1,1,0,0,1
"Blue",0,193.04,0,2,1,0,0,8
"Red",1,193.04,0,0,1,1,0,8
"Blue",2,180.34,2,0,2,0,1,11
"Red",0,195.58,5,1,1,3,0,8
"Red",2,187.96,1,0,1,3,0,8
"Red",2,195.58,3,0,1,3,0,6
"Red",3,180.34,4,0,1,3,0,7
"Blue",0,182.88,1,1,1,1,0,9
"Red",1,180.34,2,0,1,2,0,4
"Blue",1,177.8,6,0,1,1,2,7
"Red",0,182.88,1,2,1,0,0,3
"Red",1,187.96,1,0,1,0,0,9
"Blue",0,182.88,3,1,1,2,2,3
"Blue",1,165.1,0,0,1,0,0,13
"Blue",0,193.04,3,1,1,1,0,7
"Blue",0,190.5,4,0,1,1,0,6
"Blue",0,187.96,4,0,1,0,0,5
"Red",0,162.56,3,2,1,2,1,13
"Draw",1,203.2,0,0,1,0,0,5
"Red",1,172.72,2,0,1,3,0,3
"Red",0,170.18,0,1,1,0,0,1
"Red",0,162.56,1,1,1,0,0,13
"Draw",1,193.04,0,0,1,0,1,9
"Blue",0,193.04,1,2,1,0,0,6
"Red",4,175.26,1,0,1,0,1,10
"Blue",2,187.96,4,0,1,5,0,9
"Blue",4,210.82,7,0,1,2,1,5
"Blue",2,180.34,8,0,1,2,2,3
"Blue",3,190.5,9,0,1,3,0,8
"Red",0,180.34,2,1,1,1,1,1
"Blue",1,180.34,0,0,1,0,0,9
"Blue",0,200.66,1,0,1,1,0,6
"Red",1,187.96,1,0,1,1,0,8
"Red",0,182.88,2,0,1,1,0,6
"Red",0,172.72,0,0,1,0,0,4
"Red",0,180.34,1,1,1,0,0,7
"Red",0,177.8,0,4,1,0,2,3
"Red",0,180.34,9,1,1,7,0,7
"Blue",0,195.58,4,1,1,2,1,9
"Blue",2,175.26,4,0,1,3,1,4
"Blue",0,177.8,0,0,1,0,0,7
"Blue",0,165.1,2,1,1,0,1,1
"Red",0,195.58,1,2,1,1,0,5
"Red",1,180.34,3,0,1,2,0,7
"Blue",0,162.56,2,2,1,0,0,13
"Red",0,198.12,4,1,1,0,0,5
"Blue",0,193.04,1,1,1,0,0,6
"Blue",0,187.96,1,1,1,0,0,5
"Red",0,172.72,1,1,2,2,0,10
"Blue",5,165.1,0,0,2,0,1,1
"Red",6,170.18,3,0,1,1,0,1
"Red",0,177.8,4,1,1,1,1,9
"Blue",0,160.02,2,1,1,1,0,4
"Blue",0,203.2,5,1,1,0,2,9
"Red",1,187.96,3,0,1,2,0,8
"Blue",0,182.88,7,1,1,2,1,9
"Blue",0,193.04,3,0,1,0,0,9
"Draw",2,190.5,2,0,1,1,0,9
"Blue",1,157.48,1,0,1,1,0,13
"Blue",2,187.96,1,0,1,1,0,9
"Red",0,172.72,6,1,1,6,0,1
"Red",2,180.34,2,0,1,0,0,9
"Blue",0,193.04,0,0,1,1,0,6
"Blue",0,170.18,9,3,1,7,0,3
"Blue",2,182.88,1,0,1,1,0,9
"Blue",1,182.88,3,0,1,1,0,9
"Red",1,175.26,0,0,1,0,1,7
"Red",0,172.72,3,0,1,0,0,10
"Red",0,172.72,5,1,1,0,1,1
"Red",0,165.1,1,1,1,0,0,4
"Blue",0,187.96,1,1,1,0,0,9
"Red",1,182.88,3,0,2,2,1,3
"Red",0,190.5,4,2,1,5,0,9
"Red",3,177.8,3,0,1,0,0,3
"Blue",1,180.34,1,0,1,0,0,8
"Blue",0,187.96,2,0,1,0,1,9
"Blue",3,195.58,2,0,1,3,0,6
"Red",2,177.8,2,0,1,3,0,7
"Blue",0,160.02,2,0,1,0,1,13
"Blue",0,175.26,2,1,1,3,0,1
"Blue",0,180.34,5,1,1,0,1,7
"Blue",3,185.42,1,0,1,0,1,7
"Blue",0,165.1,3,2,1,0,0,4
"Red",2,193.04,2,0,1,0,1,5
"Red",1,193.04,0,0,1,0,0,5
"Red",0,187.96,2,2,1,0,0,6
"Red",0,198.12,4,0,1,0,1,6
"Red",0,175.26,0,0,1,0,0,13
"Red",0,198.12,1,0,1,1,0,9
"Blue",0,195.58,1,0,1,0,0,8
"Red",2,190.5,0,0,1,0,0,8
"Blue",0,190.5,1,0,1,0,1,3
"Blue",1,185.42,1,0,1,0,0,7
"Blue",0,193.04,1,0,1,0,0,8
"Red",0,170.18,2,0,1,0,0,13
"Red",0,167.64,2,3,2,3,1,4
"Red",0,162.56,2,1,1,1,0,4
"Blue",1,187.96,7,0,1,1,1,9
"Blue",1,195.58,1,0,1,0,0,6
"Red",1,172.72,3,0,1,0,1,10
"Red",1,172.72,0,0,1,1,0,4
"Blue",1,180.34,7,0,1,0,3,3
"Red",0,177.8,1,0,1,0,0,1
"Red",0,175.26,2,1,1,0,0,7
"Blue",0,165.1,3,0,1,1,0,13
"Blue",0,193.04,2,1,1,0,0,8
"Blue",0,190.5,0,1,1,0,0,6
"Red",5,195.58,2,0,1,0,0,8
"Blue",0,177.8,2,1,1,3,0,7
"Blue",0,185.42,5,2,1,2,1,9
"Blue",0,180.34,1,0,1,0,0,7
"Blue",0,200.66,1,0,1,0,0,6
"Blue",0,152.4,2,1,1,0,0,13
"Red",0,193.04,1,1,1,1,0,8
"Red",0,185.42,1,1,1,0,0,7
"Blue",0,190.5,3,1,1,0,0,9
"Red",0,167.64,1,1,1,1,0,4
"Blue",1,180.34,2,0,1,1,0,3
"Red",0,162.56,2,1,1,1,0,3
"Blue",0,172.72,2,0,1,0,1,4
"Red",1,190.5,5,0,1,1,1,6
"Red",0,182.88,1,1,1,0,0,1
"Red",2,170.18,2,0,1,0,0,13
"Blue",4,195.58,5,0,1,5,1,8
"Blue",3,193.04,1,0,1,3,0,9
"Red",1,182.88,2,0,1,2,0,9
"Red",1,195.58,3,0,1,1,1,8
"Blue",0,177.8,1,0,1,1,0,6
"Red",0,170.18,2,1,1,0,0,1
"Red",0,203.2,1,1,1,1,0,5
"Red",2,167.64,3,0,1,1,0,1
"Draw",0,187.96,2,0,1,0,0,6
"Red",0,200.66,3,2,1,1,0,8
"Blue",0,177.8,10,1,1,0,2,7
"Blue",0,203.2,1,0,1,0,0,5
"Red",2,175.26,2,0,1,0,0,3
"Blue",0,185.42,1,0,1,2,0,8
"Red",1,165.1,1,0,1,0,0,4
"Red",2,180.34,2,0,1,1,1,7
"Blue",0,162.56,1,1,1,0,0,13
"Red",0,195.58,0,0,1,0,0,5
"Red",0,187.96,2,1,1,1,0,9
"Red",0,154.94,2,1,1,1,0,10
"Red",0,177.8,0,0,1,0,0,1
"Blue",0,185.42,0,0,1,0,0,9
"Blue",1,187.96,1,0,2,0,2,7
"Draw",7,190.5,2,0,2,0,1,9
"Red",3,162.56,0,0,2,0,1,13
"Blue",7,185.42,1,0,1,2,0,8
"Blue",3,170.18,3,0,1,1,0,10
"Red",1,180.34,6,0,1,2,0,3
