"Winner","B_current_win_streak","B_Reach_cms","R_losses","B_current_lose_streak","title_bout","R_win_by_Submission","R_win_by_Decision_Split","weight_class"
"Red",2,182.88,4,0,1,3,0,9
"Blue",1,172.72,4,0,1,2,0,10
"Red",0,187.96,0,2,1,0,0,3
"Red",0,198.12,0,0,1,1,0,5
"Blue",2,177.8,5,0,1,2,0,1
"Red",1,182.88,3,0,1,1,1,9
"Red",0,185.42,5,1,1,0,0,7
"Red",3,193.04,2,0,2,5,0,6
"Blue",9,193.04,3,0,2,1,1,9
"Blue",0,185.42,6,0,1,0,3,9
"Blue",2,165.1,2,0,1,0,0,1
"Blue",4,185.42,14,0,1,0,1,3
"Blue",2,208.28,2,0,1,4,0,6
"Red",4,170.18,1,0,1,0,2,1
"Red",1,187.96,11,0,1,0,3,9
"Blue",1,182.88,2,0,1,0,0,10
"Blue",0,160.02,1,1,1,1,0,13
"Blue",3,193.04,4,0,1,2,0,6
"Red",1,190.5,9,0,1,5,0,5
"Blue",0,187.96,7,1,1,0,3,6
"Red",0,170.18,4,1,1,0,1,12
"Blue",3,170.18,5,0,1,0,1,1
"Red",0,187.96,1,0,1,0,0,6
"Red",0,190.5,1,1,1,0,0,9
"Blue",0,172.72,2,1,1,0,0,3
"Blue",0,160.02,2,1,1,0,0,12
"Red",1,180.34,2,0,1,0,1,7
"Blue",0,187.96,2,0,1,3,3,9
"Blue",3,187.96,2,0,1,0,1,7
"Red",1,195.58,2,0,1,1,0,5
"Blue",0,177.8,2,1,1,3,0,7
"Blue",1,162.56,5,0,1,1,1,13
"Blue",0,177.8,10,0,1,2,3,3
"Red",1,182.88,2,0,1,3,0,9
"Red",0,185.42,5,1,1,0,1,3
"Blue",2,180.34,1,0,1,0,1,1
"Blue",2,180.34,0,0,1,0,0,1
"Blue",1,175.26,3,0,1,0,1,12
"Blue",1,172.72,2,0,1,1,0,7
"Blue",0,170.18,6,1,1,3,0,1
"Blue",1,160.02,0,0,1,1,0,13
"Red",1,195.58,0,0,1,0,1,8
"Blue",2,175.26,4,0,1,6,1,1
"Red",1,167.64,0,0,1,2,0,12
"Red",0,190.5,0,1,1,1,0,6
"Red",3,177.8,0,0,1,0,0,7
"Red",1,182.88,1,0,1,0,0,3
"Red",0,175.26,0,0,1,0,0,4
"Blue",0,185.42,5,1,1,0,0,1
"Blue",0,195.58,0,1,1,0,0,7
"Blue",0,177.8,2,1,1,0,0,1
"Blue",3,170.18,2,0,1,1,3,1
"Red",2,182.88,3,0,1,0,0,3
"Red",1,187.96,9,0,1,9,1,9
"Red",5,185.42,9,0,1,12,0,7
"Red",0,203.2,0,1,1,0,0,6
"Red",0,175.26,0,0,1,1,0,13
"Red",0,190.5,2,0,1,1,0,8
"Red",0,172.72,1,0,1,1,0,12
"Red",0,193.04,10,1,1,1,0,9
"Blue",0,198.12,2,0,1,0,0,5
"Red",0,175.26,0,0,1,0,0,3
"Blue",1,177.8,0,0,1,0,1,1
"Blue",0,170.18,1,0,1,0,0,4
"Red",4,170.18,2,0,2,0,2,4
"Blue",0,193.04,0,1,1,0,0,5
"Red",0,190.5,0,1,1,2,0,7
"Red",3,165.1,3,0,1,1,1,4
"Red",0,157.48,3,1,1,1,0,12
"Red",1,187.96,5,0,1,3,0,6
"Blue",1,185.42,0,0,1,0,0,7
"Red",0,170.18,3,0,1,1,0,12
"Red",0,182.88,0,0,1,0,0,1
"Red",0,182.88,7,1,1,2,2,7
"Blue",2,190.5,2,0,1,0,1,9
"Blue",0,190.5,0,1,1,0,0,9
"Red",2,200.66,2,0,2,5,0,6
"Blue",7,175.26,0,0,2,0,0,11
"Blue",0,190.5,8,2,1,0,1,9
"Blue",2,200.66,3,0,1,2,0,6
"Blue",5,180.34,4,0,1,0,0,3
"Draw",1,195.58,11,0,1,2,1,5
"Blue",0,182.88,3,1,1,0,0,11
"Blue",2,170.18,2,0,1,0,0,1
"Blue",2,180.34,13,0,1,4,0,7
"Red",1,190.5,0,0,1,1,0,1
"Red",0,200.66,7,0,1,0,0,8
"Red",3,185.42,0,0,1,0,0,9
"Blue",0,190.5,2,1,1,1,0,1
"Blue",0,177.8,3,1,1,4,1,7
"Red",4,190.5,6,0,1,0,1,7
"Red",0,175.26,3,1,1,1,0,1
"Blue",2,187.96,12,0,1,7,2,7
"Red",0,193.04,3,0,1,0,2,9
"Blue",1,177.8,4,0,1,1,1,7
"Blue",0,175.26,1,1,1,0,0,7
"Blue",1,195.58,1,0,1,3,0,8
"Blue",0,190.5,5,1,1,0,1,8
"Red",0,182.88,1,0,1,0,0,3
"Blue",0,208.28,2,1,1,0,0,6
"Blue",0,203.2,2,0,1,0,0,5
"Red",6,175.26,3,0,2,2,1,3
"Red",1,165.1,2,0,2,2,1,12
"Blue",0,182.88,4,1,1,3,0,9
"Red",0,177.8,1,1,1,0,0,3
"Blue",2,193.04,4,0,1,0,0,6
"Blue",3,162.56,3,0,1,1,1,13
"Blue",0,180.34,3,1,1,4,1,7
"Blue",2,167.64,1,0,1,0,1,12
"Red",0,190.5,2,1,1,0,0,8
"Red",0,175.26,0,2,1,0,0,1
"Blue",0,187.96,3,4,1,0,1,9
"Red",0,180.34,2,0,1,1,0,7
"Blue",2,198.12,2,0,1,0,0,6
"Red",3,190.5,4,0,1,0,0,5
"Red",0,200.66,9,1,1,0,1,6
"Blue",3,198.12,9,0,1,0,0,5
"Blue",2,185.42,3,0,1,4,1,9
"Blue",0,180.34,0,0,1,0,0,3
"Red",1,193.04,0,0,1,0,0,6
"Blue",1,177.8,6,0,1,0,2,9
"Red",0,165.1,5,1,1,2,0,4
"Red",0,182.88,6,1,1,2,1,9
"Blue",0,175.26,1,0,1,0,0,4
"Blue",0,180.34,5,2,1,0,0,7
"Blue",8,193.04,8,0,1,3,0,9
"Red",0,190.5,0,0,2,0,0,5
"Blue",0,182.88,0,0,2,0,0,11
"Red",0,172.72,4,1,1,3,0,1
"Blue",0,170.18,1,0,1,0,2,12
"Blue",0,185.42,2,0,1,0,2,3
"Red",3,165.1,3,0,1,1,1,4
"Blue",0,180.34,0,0,1,0,0,11
"Red",0,177.8,0,1,1,0,0,7
"Red",0,195.58,8,1,1,1,1,9
"Red",0,175.26,0,0,1,0,0,1
"Blue",0,210.82,2,2,1,0,0,5
"Red",0,213.36,6,0,1,0,0,5
"Red",0,177.8,0,0,1,1,0,1
"Red",0,190.5,3,1,1,0,1,9
"Blue",0,182.88,0,1,1,0,0,9
"Red",1,170.18,1,0,1,0,0,12
"Blue",0,193.04,1,3,1,0,0,6
"Red",0,185.42,0,0,1,0,0,1
"Red",0,167.64,0,1,1,0,0,13
"Red",0,190.5,1,1,1,0,0,8
"Blue",0,172.72,0,4,1,0,0,1
"Blue",6,185.42,5,0,1,1,1,9
"Red",0,180.34,5,1,1,3,0,3
"Blue",0,208.28,3,0,1,0,0,6
"Blue",0,182.88,4,0,1,3,2,8
"Blue",1,177.8,2,0,1,0,0,1
"Red",2,170.18,1,0,1,2,0,13
"Red",3,190.5,2,0,1,2,3,9
"Red",1,180.34,1,0,1,1,1,4
"Red",0,182.88,0,1,1,0,0,9
"Red",0,177.8,0,0,1,0,0,3
"Blue",0,180.34,1,1,1,2,0,3
"Red",1,180.34,8,0,1,5,0,9
"Blue",3,180.34,3,0,1,2,1,10
"Red",0,177.8,5,0,1,3,1,7
"Red",0,160.02,0,0,1,0,0,13
"Red",1,190.5,0,0,1,0,1,7
"Red",0,162.56,3,1,1,0,0,13
