"date","Winner","title_bout","weight_class","B_fighter","B_Height_cms","B_Reach_cms","B_age","B_current_lose_streak","B_current_win_streak","B_longest_win_streak","B_losses","B_wins","B_total_rounds_fought","B_total_title_bouts","B_win_by_KO.TKO","B_win_by_Submission","B_win_by_Decision_Majority","B_win_by_Decision_Split","B_win_by_Decision_Unanimous","B_win_by_TKO_Doctor_Stoppage","R_fighter","R_Height_cms","R_Reach_cms","R_age","R_current_lose_streak","R_current_win_streak","R_longest_win_streak","R_losses","R_wins","R_total_rounds_fought","R_total_title_bouts","R_win_by_KO.TKO","R_win_by_Submission","R_win_by_Decision_Majority","R_win_by_Decision_Split","R_win_by_Decision_Unanimous","R_win_by_TKO_Doctor_Stoppage"
"2019-05-18","Red","False","Welterweight","Kevin Lee",175.26,195.58,26,1,0,5,4,10,36,1,1,4,0,1,3,1,"Rafael Dos Anjos",172.72,177.8,34,2,0,5,9,17,74,4,4,3,0,0,10,0
"2019-05-18","Blue","False","Middleweight","Ian Heinisch",180.34,182.88,30,0,1,1,0,1,3,0,0,0,0,0,1,0,"Antonio Carlos Junior",187.96,200.66,29,0,4,4,3,6,21,1,0,4,0,0,2,0
"2019-05-18","Blue","False","Women's Featherweight","Felicia Spencer",167.64,172.72,28,0,0,0,0,0,0,0,0,0,0,0,0,0,"Megan Anderson",182.88,182.88,29,0,1,1,1,1,4,0,1,0,0,0,0,0
"2019-05-18","Red","False","Welterweight","Derrick Krantz",177.8,182.88,31,0,0,0,0,0,0,0,0,0,0,0,0,0,"Vicente Luque",180.34,190.5,27,0,4,4,2,8,18,0,5,3,0,0,0,0
"2019-05-18","Red","False","Lightweight","Nik Lentz",172.72,172.72,34,0,2,4,8,14,59,0,3,2,0,2,7,0,"Charles Oliveira",177.8,187.96,29,0,4,4,9,14,42,0,0,13,0,0,1,0
"2019-05-18","Red","False","Lightweight","Austin Hubbard",177.8,180.34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,"Davi Ramos",167.64,177.8,32,0,3,3,1,3,8,0,0,3,0,0,0,0
"2019-05-18","Red","False","Women's Bantamweight","Sijara Eubanks",162.56,170.18,34,0,2,2,0,2,6,0,0,0,0,0,2,0,"Aspen Ladd",167.64,167.64,24,0,2,2,0,2,3,0,2,0,0,0,0,0
"2019-05-18","Red","False","Lightweight","Charles Jourdain",175.26,175.26,23,0,0,0,0,0,0,0,0,0,0,0,0,0,"Desmond Green",177.8,185.42,29,0,1,1,3,3,16,0,1,0,0,1,1,0
"2019-05-18","Blue","False","Welterweight","Michel Pereira",185.42,185.42,25,0,0,0,0,0,0,0,0,0,0,0,0,0,"Danny Roberts",185.42,187.96,31,1,0,2,3,5,17,0,2,1,0,1,1,0
"2019-05-18","Blue","False","Featherweight","Grant Dawson",177.8,182.88,25,0,1,1,0,1,3,0,0,0,0,0,1,0,"Michael Trizano",180.34,180.34,27,0,2,2,0,2,6,1,0,0,0,2,0,0
"2019-05-18","Blue","False","Light Heavyweight","Ed Herman",185.42,195.58,38,3,0,3,11,10,47,1,3,4,0,1,2,0,"Patrick Cummins",187.96,193.04,38,2,0,3,6,6,26,0,2,0,0,1,3,0
"2019-05-18","Red","False","Middleweight","Trevin Giles",182.88,187.96,26,0,2,2,0,2,5,0,2,0,0,0,0,0,"Zak Cummings",182.88,190.5,34,0,1,2,3,7,22,0,1,3,0,0,3,0
"2019-05-18","Red","False","Featherweight","Julian Erosa",185.42,187.96,29,3,0,1,3,1,9,0,0,0,0,1,0,0,"Julio Arce",170.18,177.8,29,1,0,2,1,2,9,0,0,1,0,0,1,0
